2025-07-02 22:57:40,385 - INFO - server starting up
2025-07-03 23:24:57,279 - app - INFO - server starting up
2025-07-26 23:13:35,856 - app - INFO - [2025-07-26T23:13:35.856780] FSR: 0, Voltage: 0.0000, Resistance: inf, Message: N/A
2025-07-26 23:13:37,371 - app - INFO - [2025-07-26T23:13:37.371127] FSR: 0, Voltage: 0.0000, Resistance: inf, Message: N/A
2025-07-26 23:13:38,848 - app - INFO - [2025-07-26T23:13:38.848763] FSR: 0, Voltage: 0.0000, Resistance: inf, Message: N/A
2025-07-26 23:13:40,127 - app - INFO - [2025-07-26T23:13:40.127251] FSR: 0, Voltage: 0.0000, Resistance: inf, Message: N/A
2025-07-26 23:13:41,682 - app - INFO - [2025-07-26T23:13:41.681985] FSR: 0, Voltage: 0.0000, Resistance: inf, Message: N/A
2025-07-26 23:13:42,919 - app - INFO - [2025-07-26T23:13:42.919169] FSR: 0, Voltage: 0.0000, Resistance: inf, Message: N/A
2025-07-26 23:13:44,540 - app - INFO - [2025-07-26T23:13:44.540339] FSR: 0, Voltage: 0.0000, Resistance: inf, Message: N/A
2025-07-26 23:13:45,869 - app - INFO - [2025-07-26T23:13:45.869354] FSR: 0, Voltage: 0.0000, Resistance: inf, Message: N/A
2025-07-26 23:13:47,107 - app - INFO - [2025-07-26T23:13:47.107563] FSR: 0, Voltage: 0.0000, Resistance: inf, Message: N/A
2025-07-26 23:13:48,367 - app - INFO - [2025-07-26T23:13:48.367453] FSR: 0, Voltage: 0.0000, Resistance: inf, Message: N/A
2025-07-26 23:13:49,770 - app - INFO - [2025-07-26T23:13:49.770059] FSR: 0, Voltage: 0.0000, Resistance: inf, Message: N/A
2025-07-26 23:13:50,868 - app - INFO - [2025-07-26T23:13:50.868317] FSR: 0, Voltage: 0.0000, Resistance: inf, Message: N/A
2025-07-26 23:13:52,129 - app - INFO - [2025-07-26T23:13:52.129244] FSR: 0, Voltage: 0.0000, Resistance: inf, Message: N/A
2025-07-26 23:13:53,654 - app - INFO - [2025-07-26T23:13:53.654494] FSR: 0, Voltage: 0.0000, Resistance: inf, Message: N/A
2025-07-26 23:13:54,888 - app - INFO - [2025-07-26T23:13:54.888251] FSR: 0, Voltage: 0.0000, Resistance: inf, Message: N/A
2025-07-26 23:13:56,319 - app - INFO - [2025-07-26T23:13:56.319634] FSR: 0, Voltage: 0.0000, Resistance: inf, Message: N/A
2025-07-26 23:13:57,647 - app - INFO - [2025-07-26T23:13:57.647434] FSR: 0, Voltage: 0.0000, Resistance: inf, Message: N/A
2025-07-26 23:13:58,888 - app - INFO - [2025-07-26T23:13:58.887979] FSR: 0, Voltage: 0.0000, Resistance: inf, Message: N/A
2025-07-26 23:14:00,412 - app - INFO - [2025-07-26T23:14:00.412055] FSR: 0, Voltage: 0.0000, Resistance: inf, Message: N/A
2025-07-26 23:14:01,948 - app - INFO - [2025-07-26T23:14:01.948137] FSR: 0, Voltage: 0.0000, Resistance: inf, Message: N/A
2025-07-26 23:14:03,295 - app - INFO - [2025-07-26T23:14:03.295362] FSR: 0, Voltage: 0.0000, Resistance: inf, Message: N/A
2025-07-26 23:14:04,615 - app - INFO - [2025-07-26T23:14:04.615135] FSR: 0, Voltage: 0.0000, Resistance: inf, Message: N/A
2025-07-26 23:14:06,055 - app - INFO - [2025-07-26T23:14:06.055855] FSR: 0, Voltage: 0.0000, Resistance: inf, Message: N/A
2025-07-26 23:14:07,377 - app - INFO - [2025-07-26T23:14:07.377053] FSR: 0, Voltage: 0.0000, Resistance: inf, Message: N/A
2025-07-26 23:14:08,807 - app - INFO - [2025-07-26T23:14:08.807075] FSR: 0, Voltage: 0.0000, Resistance: inf, Message: N/A
2025-07-26 23:14:10,041 - app - INFO - [2025-07-26T23:14:10.041967] FSR: 0, Voltage: 0.0000, Resistance: inf, Message: N/A
2025-07-26 23:14:11,370 - app - INFO - [2025-07-26T23:14:11.370615] FSR: 0, Voltage: 0.0000, Resistance: inf, Message: N/A
2025-07-26 23:14:12,816 - app - INFO - [2025-07-26T23:14:12.816125] FSR: 0, Voltage: 0.0000, Resistance: inf, Message: N/A
2025-07-26 23:14:14,047 - app - INFO - [2025-07-26T23:14:14.047860] FSR: 0, Voltage: 0.0000, Resistance: inf, Message: N/A
2025-07-26 23:14:15,465 - app - INFO - [2025-07-26T23:14:15.465606] FSR: 210023, Voltage: 1.8656, Resistance: 7688.9844, Message: N/A
2025-07-26 23:14:16,802 - app - INFO - [2025-07-26T23:14:16.802472] FSR: 211111, Voltage: 1.9252, Resistance: 7141.0635, Message: N/A
2025-07-26 23:14:18,131 - app - INFO - [2025-07-26T23:14:18.131044] FSR: 0, Voltage: 0.0000, Resistance: inf, Message: N/A
2025-07-26 23:14:19,667 - app - INFO - [2025-07-26T23:14:19.667191] FSR: 0, Voltage: 0.0000, Resistance: inf, Message: N/A
2025-07-26 23:14:20,899 - app - INFO - [2025-07-26T23:14:20.899246] FSR: 0, Voltage: 0.0000, Resistance: inf, Message: N/A
2025-07-26 23:14:22,116 - app - INFO - [2025-07-26T23:14:22.116694] FSR: 0, Voltage: 0.0000, Resistance: inf, Message: N/A
2025-07-26 23:14:23,657 - app - INFO - [2025-07-26T23:14:23.657359] FSR: 0, Voltage: 0.0000, Resistance: inf, Message: N/A
2025-07-26 23:14:25,193 - app - INFO - [2025-07-26T23:14:25.193087] FSR: 0, Voltage: 0.0000, Resistance: inf, Message: N/A
2025-07-26 23:14:26,429 - app - INFO - [2025-07-26T23:14:26.428961] FSR: 0, Voltage: 0.0000, Resistance: inf, Message: N/A
2025-07-26 23:14:27,661 - app - INFO - [2025-07-26T23:14:27.661055] FSR: 0, Voltage: 0.0000, Resistance: inf, Message: N/A
2025-07-26 23:14:28,921 - app - INFO - [2025-07-26T23:14:28.921909] FSR: 0, Voltage: 0.0000, Resistance: inf, Message: N/A
2025-07-26 23:14:30,319 - app - INFO - [2025-07-26T23:14:30.319341] FSR: 0, Voltage: 0.0000, Resistance: inf, Message: N/A
2025-07-26 23:14:31,644 - app - INFO - [2025-07-26T23:14:31.644893] FSR: 0, Voltage: 0.0000, Resistance: inf, Message: N/A
2025-07-26 23:14:32,882 - app - INFO - [2025-07-26T23:14:32.882053] FSR: 0, Voltage: 0.0000, Resistance: inf, Message: N/A
2025-07-26 23:17:29,003 - app - INFO - [2025-07-26T23:17:29.003905] FSR: N/A, Voltage: N/A, Resistance: N/A, Message: Wi-Fi connected and ready
2025-07-26 23:17:30,445 - app - INFO - [2025-07-26T23:17:30.445512] FSR: 0, Voltage: 0.0000, Resistance: inf, Message: N/A
2025-07-26 23:17:31,677 - app - INFO - [2025-07-26T23:17:31.677512] FSR: 0, Voltage: 0.0000, Resistance: inf, Message: N/A
2025-07-26 23:17:33,200 - app - INFO - [2025-07-26T23:17:33.200797] FSR: 0, Voltage: 0.0000, Resistance: inf, Message: N/A
2025-07-26 23:17:34,424 - app - INFO - [2025-07-26T23:17:34.424597] FSR: 0, Voltage: 0.0000, Resistance: inf, Message: N/A
2025-07-26 23:17:35,667 - app - INFO - [2025-07-26T23:17:35.667891] FSR: 0, Voltage: 0.0000, Resistance: inf, Message: N/A
2025-07-26 23:17:37,100 - app - INFO - [2025-07-26T23:17:37.099964] FSR: 0, Voltage: 0.0000, Resistance: inf, Message: N/A
2025-07-26 23:17:38,422 - app - INFO - [2025-07-26T23:17:38.422884] FSR: 0, Voltage: 0.0000, Resistance: inf, Message: N/A
2025-07-26 23:17:39,869 - app - INFO - [2025-07-26T23:17:39.869016] FSR: 0, Voltage: 0.0000, Resistance: inf, Message: N/A
2025-07-26 23:17:41,297 - app - INFO - [2025-07-26T23:17:41.297149] FSR: 0, Voltage: 0.0000, Resistance: inf, Message: N/A
2025-07-26 23:17:42,423 - app - INFO - [2025-07-26T23:17:42.423837] FSR: 0, Voltage: 0.0000, Resistance: inf, Message: N/A
2025-07-26 23:17:43,853 - app - INFO - [2025-07-26T23:17:43.853835] FSR: 0, Voltage: 0.0000, Resistance: inf, Message: N/A
2025-07-26 23:17:45,181 - app - INFO - [2025-07-26T23:17:45.181878] FSR: 0, Voltage: 0.0000, Resistance: inf, Message: N/A
2025-07-26 23:17:46,421 - app - INFO - [2025-07-26T23:17:46.421102] FSR: 0, Voltage: 0.0000, Resistance: inf, Message: N/A
2025-07-26 23:17:47,861 - app - INFO - [2025-07-26T23:17:47.861422] FSR: 0, Voltage: 0.0000, Resistance: inf, Message: N/A
2025-07-26 23:17:49,079 - app - INFO - [2025-07-26T23:17:49.079573] FSR: 222013, Voltage: 2.1718, Resistance: 5194.8052, Message: N/A
2025-07-26 23:17:50,404 - app - INFO - [2025-07-26T23:17:50.404557] FSR: 223220, Voltage: 2.2500, Resistance: 4666.9062, Message: N/A
2025-07-26 23:17:51,847 - app - INFO - [2025-07-26T23:17:51.847368] FSR: 0, Voltage: 0.0000, Resistance: inf, Message: N/A
2025-07-26 23:17:53,169 - app - INFO - [2025-07-26T23:17:53.169218] FSR: 0, Voltage: 0.0000, Resistance: inf, Message: N/A
2025-07-26 23:17:54,616 - app - INFO - [2025-07-26T23:17:54.616285] FSR: 0, Voltage: 0.0000, Resistance: inf, Message: N/A
2025-07-26 23:17:55,933 - app - INFO - [2025-07-26T23:17:55.933412] FSR: 0, Voltage: 0.0000, Resistance: inf, Message: N/A
2025-07-26 23:17:57,155 - app - INFO - [2025-07-26T23:17:57.154960] FSR: 0, Voltage: 0.0000, Resistance: inf, Message: N/A
2025-07-26 23:17:58,400 - app - INFO - [2025-07-26T23:17:58.400814] FSR: 0, Voltage: 0.0000, Resistance: inf, Message: N/A
2025-07-26 23:17:59,940 - app - INFO - [2025-07-26T23:17:59.940651] FSR: 0, Voltage: 0.0000, Resistance: inf, Message: N/A
